word,num,Geschlecht
Michael,103642,männl.
Thomas,101500,männl.
Andreas,78384,männl.
Peter,67058,männl.
Christian,63349,männl.
Frank,53624,männl.
Stefan,52985,männl.
Wolfgang,50668,männl.
Jürgen,46598,männl.
Martin,44055,männl.
Klaus,40626,männl.
Markus,38133,männl.
Alexander,35779,männl.
Bernd,33467,männl.
Matthias,33373,männl.
Jörg,33023,männl.
Ralf,31412,männl.
Dirk,30239,männl.
Uwe,29102,männl.
Manfred,27504,männl.
Oliver,27482,männl.
Dieter,24689,männl.
Christoph,24588,männl.
Ulrich,24334,männl.
Jens,23843,männl.
Werner,23559,männl.
Rainer,23356,männl.
Stephan,21865,männl.
Daniel,21560,männl.
Joachim,21434,männl.
Robert,20625,männl.
Gerhard,20489,männl.
Helmut,18736,männl.
Norbert,18456,männl.
Volker,18258,männl.
Holger,18010,männl.
Sven,17261,männl.
Carsten,16525,männl.
Günter,16306,männl.
Harald,16198,männl.
Bernhard,16174,männl.
Sebastian,15984,männl.
Jan,15393,männl.
Johannes,15298,männl.
Thorsten,15170,männl.
Axel,15039,männl.
Rolf,15013,männl.
Josef,14785,männl.
Roland,14484,männl.
Torsten,14265,männl.
Georg,14085,männl.
Horst,13904,männl.
Tobias,13383,männl.
Walter,13005,männl.
Florian,12956,männl.
Hans,12633,männl.
Marco,12631,männl.
Marc,12522,männl.
Jochen,12338,männl.
Steffen,12193,männl.
Katja,12051,weibl.
Sabine,11995,weibl.
Marcus,11946,männl.
Patrick,11845,männl.
Claudia,11485,weibl.
Reinhard,11416,männl.
Andrea,11384,weibl.
Petra,11341,weibl.
Olaf,11239,männl.
Herbert,11237,männl.
Karl-Heinz,10869,männl.
Lars,10789,männl.
Udo,10467,männl.
Heinz,10464,männl.
Gerd,10066,männl.
Heiko,10048,männl.
Mario,10036,männl.
Susanne,9960,weibl.
Hermann,9930,männl.
André,9929,männl.
Rudolf,9664,männl.
Ingo,9650,männl.
Franz,9602,männl.
Nicole,9541,weibl.
Heinrich,9408,männl.
Philipp,9347,männl.
Karsten,8955,männl.
Dietmar,8835,männl.
Karl,8467,männl.
Hans-Jürgen,8446,männl.
Kerstin,8405,weibl.
Angelika,8322,weibl.
Hartmut,8267,männl.
Antje,8135,weibl.
Detlef,8122,männl.
Gabriele,8112,weibl.
Achim,8108,männl.
Sascha,7888,männl.
Kai,7876,männl.
Wilhelm,7865,männl.
Siegfried,7839,männl.
Johann,7817,männl.
Rüdiger,7806,männl.
Monika,7726,weibl.
David,7662,männl.
Hans-Joachim,7626,männl.
Richard,7562,männl.
Wilfried,7542,männl.
Julia,7527,weibl.
Paul,7475,männl.
René,7465,männl.
Mathias,7450,männl.
Guido,7430,männl.
Kurt,7258,männl.
Lothar,7215,männl.
Lutz,7174,männl.
Birgit,7159,weibl.
Ralph,7091,männl.
Martina,7087,weibl.
Alfred,7007,männl.
Günther,6979,männl.
Armin,6891,männl.
Anja,6858,weibl.
Friedrich,6828,männl.
Karin,6765,weibl.
Marcel,6702,männl.
Hans-Peter,6642,männl.
Heike,6489,weibl.
Björn,6436,männl.
