"","plz","nobs","female"
"1","00139",1,0
"2","01067",579,0.200345423143351
"3","01069",174,0.206896551724138
"4","01097",147,0.244897959183673
"5","01099",320,0.13125
"6","01108",72,0.0555555555555556
"7","01109",296,0.172297297297297
"8","01127",30,0.266666666666667
"9","01129",18,0.111111111111111
"10","01139",98,0.183673469387755
"11","01156",85,0.223529411764706
"12","01157",39,0.102564102564103
"13","01159",64,0.1875
"14","01169",48,0.208333333333333
"15","01187",78,0.128205128205128
"16","01189",53,0.245283018867925
"17","01217",55,0.0909090909090909
"18","01219",72,0.166666666666667
"19","01237",35,0.142857142857143
"20","01239",19,0.210526315789474
"21","01257",103,0.262135922330097
"22","01259",69,0.246376811594203
"23","01277",101,0.198019801980198
"24","01279",39,0.128205128205128
"25","01307",92,0.0869565217391304
"26","01309",255,0.219607843137255
"27","01324",62,0.0645161290322581
"28","01326",40,0.3
"29","01328",115,0.208695652173913
"30","01445",127,0.291338582677165
"31","01454",181,0.0883977900552486
"32","01458",72,0.0694444444444444
"33","01465",5,0.2
"34","01468",72,0.166666666666667
"35","01471",45,0.177777777777778
"36","01474",1,0
"37","01477",12,0.166666666666667
"38","01558",127,0.228346456692913
"39","01561",93,0.150537634408602
"40","01587",26,0.153846153846154
"41","01589",33,0.424242424242424
"42","01591",52,0.173076923076923
"43","01594",23,0.260869565217391
"44","01607",5,0
"45","01609",59,0.203389830508475
"46","01612",33,0.242424242424242
"47","01616",6,0
"48","01619",40,0.15
"49","01623",36,0.194444444444444
"50","01640",99,0.131313131313131
"51","01662",175,0.194285714285714
"52","01665",141,0.226950354609929
"53","01679",1,0
"54","01683",39,0.256410256410256
"55","01689",51,0.215686274509804
"56","01705",120,0.2
"57","01723",221,0.171945701357466
"58","01728",55,0.127272727272727
"59","01731",23,0.478260869565217
"60","01734",11,0.272727272727273
"61","01737",22,0.227272727272727
"62","01738",1,0
"63","01744",86,0.255813953488372
"64","01750",1,0
"65","01762",8,0
"66","01768",48,0.0833333333333333
"67","01773",15,0.133333333333333
"68","01774",35,0.4
"69","01776",2,0
"70","01778",11,0.0909090909090909
"71","01796",141,0.269503546099291
"72","01809",88,0.147727272727273
"73","01814",21,0.0476190476190476
"74","01816",32,0.15625
"75","01819",29,0.241379310344828
"76","01824",36,0.333333333333333
"77","01825",5,0.2
"78","01829",1,0
"79","01833",9,0.111111111111111
"80","01844",42,0.0952380952380952
"81","01847",9,0.222222222222222
"82","01848",3,0.333333333333333
"83","01855",17,0.117647058823529
"84","01877",47,0.170212765957447
"85","01896",44,0.136363636363636
"86","01900",61,0.0491803278688525
"87","01904",14,0.0714285714285714
"88","01906",14,0
"89","01909",12,0.25
"90","01917",115,0.156521739130435
"91","01920",48,0.166666666666667
"92","01936",42,0.19047619047619
"93","01945",46,0.108695652173913
"94","01968",179,0.134078212290503
"95","01979",89,0.0674157303370786
"96","01983",83,0.204819277108434
"97","01987",37,0.108108108108108
"98","01990",5,0
"99","01993",5,0
"100","01994",27,0.111111111111111
"101","01996",10,0
"102","01998",6,0.166666666666667
"103","02625",124,0.258064516129032
"104","02627",65,0.2
"105","02633",27,0.37037037037037
"106","02681",41,0.121951219512195
"107","02686",9,0
"108","02689",26,0.0769230769230769
"109","02692",25,0.28
"110","02694",39,0.205128205128205
"111","02699",34,0.0882352941176471
"112","02708",86,0.174418604651163
"113","02727",9,0.555555555555556
"114","02730",10,0
"115","02733",12,0.166666666666667
"116","02736",9,0
"117","02739",11,0.363636363636364
"118","02742",5,0
"119","02747",21,0.142857142857143
"120","02748",14,0.214285714285714
"121","02763",112,0.1875
"122","02779",11,0.0909090909090909
"123","02782",15,0.0666666666666667
"124","02785",11,0.181818181818182
"125","02788",17,0
"126","02791",7,0
"127","02794",5,0
"128","02796",3,0
"129","02799",1,0
"130","02826",191,0.277486910994764
"131","02827",23,0.0434782608695652
"132","02828",43,0.116279069767442
"133","02829",60,0.316666666666667
"134","02889",4,0.5
"135","02894",21,0.142857142857143
"136","02899",9,0.111111111111111
"137","02906",65,0.123076923076923
"138","02923",14,0.142857142857143
"139","02929",25,0.16
"140","02943",55,0.163636363636364
"141","02953",17,0.411764705882353
"142","02956",19,0.157894736842105
"143","02957",4,0
"144","02959",8,0
"145","02977",154,0.214285714285714
"146","02979",79,0.240506329113924
"147","02991",18,0.111111111111111
"148","02994",2,0
"149","02997",38,0.236842105263158
"150","02999",3,0
"151","03042",137,0.153284671532847
"152","03044",177,0.11864406779661
"153","03046",247,0.206477732793522
"154","03048",47,0.127659574468085
"155","03050",84,0.166666666666667
"156","03051",55,0.127272727272727
"157","03052",11,0.181818181818182
"158","03053",8,0.125
"159","03054",6,0
"160","03055",14,0.214285714285714
"161","03058",22,0.0909090909090909
"162","03096",44,0.159090909090909
"163","03099",79,0.0886075949367089
"164","03103",5,0.4
"165","03116",18,0.277777777777778
"166","03119",22,0.181818181818182
"167","03130",141,0.212765957446809
"168","03149",141,0.163120567375887
"169","03159",19,0.105263157894737
"170","03172",138,0.202898550724638
"171","03182",7,0.142857142857143
"172","03184",3,0
"173","03185",37,0.162162162162162
"174","03197",2,1
"175","03205",29,0.0344827586206897
"176","03222",83,0.108433734939759
"177","03226",50,0.16
"178","03229",27,0.111111111111111
"179","03238",156,0.166666666666667
"180","03246",14,0
"181","03249",14,0.214285714285714
"182","03253",47,0.106382978723404
"183","03647",1,0
"184","03917",1,0
"185","04013",1,0
"186","04029",6,0.166666666666667
"187","04103",1011,0.182987141444115
"188","04105",715,0.211188811188811
"189","04107",744,0.201612903225806
"190","04109",1753,0.152880775812892
"191","04129",490,0.155102040816327
"192","04155",345,0.214492753623188
"193","04157",126,0.246031746031746
"194","04158",229,0.161572052401747
